0: NT_UNKNOWN
654: NT_TEX_MX_NORMALIZE
655: NT_TEX_MX_MAGNITUDE
656: NT_TEX_MX_DOTPRODUCT
657: NT_TEX_MX_CROSSPRODUCT
658: NT_TEX_MX_TRANSFORMPOINT
659: NT_TEX_MX_TRANSFORMVECTOR
660: NT_TEX_MX_TRANSFORMNORMAL
661: NT_TEX_MX_TRANSFORMMATRIX
662: NT_TEX_MX_NORMALMAP
663: NT_TEX_MX_TRANSPOSE
664: NT_TEX_MX_DETERMINANT
665: NT_TEX_MX_INVERTMATRIX
666: NT_TEX_MX_INVERT
667: NT_TEX_MX_ROTATE2D
668: NT_TEX_MX_ROTATE3D
669: NT_TEX_MX_PLACE2D
670: NT_TEX_MX_SAFEPOWER
671: NT_TEX_MX_REMAP
672: NT_TEX_MX_SMOOTHSTEP
